,Date,Low,High,Close,Open
3274,2006-09-15,43.7925,45.5596,44.3976,44.9161
3273,2006-05-16,45.646,47.634,45.9533,47.5379
3272,2017-08-10,47.7515,48.891,48.1082,48.5838
3271,2006-08-17,40.3736,42.5152,41.0939,41.6989
3270,2015-07-02,37.2174,38.5792,37.828,37.8183
3269,2010-10-06,8.7873,9.0274,8.8641,8.9026
3268,2005-12-06,30.77,32.4122,32.2874,30.77
3267,2015-03-26,48.6019,49.9898,49.5836,49.1725
3266,2008-07-15,1.3925,1.9495,1.6902,1.7383
3265,2011-12-02,4.6386,4.8978,4.6482,4.8018
3264,2016-10-05,36.6418,37.4324,37.1918,37.1426
3263,2007-11-14,21.224,24.4988,22.5493,22.1844
3262,2008-01-18,11.8605,12.6192,12.4079,11.8605
3261,2008-05-02,8.1631,9.2291,8.3744,9.1234
3260,2006-11-21,56.6614,58.9086,58.4765,57.4297
3259,2012-01-18,5.5797,5.9735,5.8006,5.6277
3258,2017-09-29,46.8002,47.4146,47.0579,47.0579
3257,2013-07-25,17.5746,18.1028,18.0836,17.7571
3256,2010-01-29,4.9651,5.3876,5.0995,5.0227
3255,2013-08-08,18.1508,18.3717,18.2277,18.2373
3254,2011-11-28,3.9951,4.2256,4.1007,4.0431
3253,2016-05-13,30.4325,31.3431,30.8535,30.4423
3252,2009-10-22,3.3901,3.9183,3.707,3.8222
3251,2013-12-05,20.5998,21.7234,21.4641,21.3873
3250,2017-10-06,50.1891,51.1205,50.8332,50.2386
3249,2016-01-14,37.8338,39.703,39.4791,39.1481
3248,2016-03-28,39.3754,40.3615,39.9417,40.0295
3247,2015-04-10,46.1548,47.1897,46.1645,46.5804
3246,2017-08-23,43.124,44.8314,43.5699,44.759
3245,2017-09-07,43.1385,44.2189,43.4411,43.7879
3244,2013-10-04,19.505,19.9275,19.7162,19.505
3243,2006-12-22,51.8596,53.4922,53.1465,51.8596
3242,2011-11-03,4.8882,5.3972,5.3876,5.186
3241,2006-07-25,47.3075,49.4875,48.9209,48.0181
3240,2013-06-05,16.1821,16.9216,16.2781,16.4702
3239,2011-10-20,5.4549,5.8006,5.7718,5.5701
3238,2016-03-24,39.2387,40.957,39.5414,40.8887
3237,2017-06-19,48.2714,49.1663,49.107,48.5829
3236,2009-06-29,2.1512,2.2665,2.1704,2.2665
3235,2012-07-05,12.3695,13.0321,12.9361,12.7248
3234,2015-06-01,40.7938,43.0133,42.8194,41.2978
3233,2010-12-23,9.498,10.007,9.5172,9.8917
3232,2008-08-11,7.3948,9.4019,8.0574,7.5677
3231,2018-04-02,48.7181,51.6933,49.534,51.5142
3230,2008-05-13,6.6649,7.0875,6.7033,6.7513
3229,2008-03-14,7.7021,8.6817,7.9614,8.4992
3228,2013-02-21,12.3887,13.3971,12.84,13.0801
3227,2015-11-03,44.8631,45.8464,45.272,45.7783
3226,2008-02-21,13.205,14.1942,13.3778,13.5219
3225,2005-11-21,30.0209,31.4519,30.722,31.4519
3224,2008-10-17,5.1475,7.3372,7.0875,6.0695
3223,2006-10-17,42.3328,43.4564,43.0338,43.0723
3222,2012-03-16,6.8186,7.366,6.8666,7.3372
3221,2014-08-01,37.0017,38.0608,37.9646,37.3098
3220,2008-02-05,13.0609,14.3958,13.9733,13.7428
3219,2006-06-14,39.6534,42.4192,40.8058,40.1431
3218,2005-10-28,21.4833,22.9527,22.9527,21.6562
3217,2015-11-11,43.1982,43.7629,43.2177,43.5779
3216,2013-04-16,15.1833,16.0765,15.7211,15.3274
3215,2007-01-11,56.5461,58.7742,58.7742,56.8342
3214,2010-09-09,8.6817,9.3347,8.7489,9.3347
3213,2007-11-15,21.8482,23.308,22.3092,21.9155
3212,2016-01-04,39.2357,40.2581,39.8296,40.1996
3211,2016-07-19,34.5939,35.3283,35.2598,35.0345
3210,2011-03-17,8.1247,8.48,8.1535,8.3744
3209,2013-07-31,18.4294,18.7175,18.583,18.487
3208,2006-08-08,39.663,41.4684,40.2872,41.3628
3207,2014-09-30,33.0637,34.5176,34.1614,33.7473
3206,2007-12-06,16.6527,17.8916,16.8448,17.3537
3205,2015-07-14,40.0184,41.1524,40.7647,40.7453
3204,2009-04-08,2.8907,3.0732,2.9771,3.0636
3203,2018-05-31,42.8584,44.5939,43.4269,43.2873
3202,2005-10-18,20.5037,21.4161,20.6382,21.1856
3201,2017-11-03,46.3741,47.1768,47.0182,46.929
3200,2008-02-04,13.8004,15.3658,13.8868,14.972
3199,2006-10-13,43.7733,45.5212,44.0998,45.5212
3198,2017-06-22,48.2467,49.9969,48.4246,49.9376
3197,2017-10-05,49.8027,50.526,50.0999,50.3873
3196,2014-09-09,35.9907,37.2424,36.5492,36.2315
3195,2018-06-07,43.3372,44.3645,43.7262,44.165
3194,2008-10-08,3.8414,4.9747,3.9663,4.6001
3193,2010-12-30,9.6516,9.8437,9.7285,9.7573
3192,2008-04-14,8.2399,8.6721,8.3936,8.5376
3191,2006-04-17,35.082,37.07,35.4374,36.8779
3190,2015-06-19,39.0589,40.6,40.2801,39.0589
3189,2016-05-04,32.3125,33.5854,32.5181,33.4581
3188,2015-03-30,51.31,52.0741,51.8807,51.4938
3187,2009-03-10,2.0264,2.3049,2.2953,2.0264
3186,2018-09-11,39.065,40.305,40.18,39.33
3185,2012-12-19,12.4367,13.1282,12.9457,12.4559
3184,2013-05-16,18.1316,18.7463,18.3621,18.2085
3183,2007-05-11,31.4903,32.4122,32.0377,31.7976
3182,2007-06-27,26.4772,28.59,28.494,26.919
3181,2009-04-01,2.3433,2.593,2.4969,2.3625
3180,2018-07-12,35.5475,36.6745,36.2357,36.3055
3179,2017-08-07,49.8981,50.5606,50.0167,50.254
3178,2014-10-14,28.1918,30.984,30.3389,28.2014
3177,2012-07-17,13.2914,13.6852,13.5123,13.6371
3176,2011-11-15,4.5137,4.7922,4.5905,4.7538
3175,2012-10-19,10.8809,11.3035,11.0154,11.169
3174,2006-12-28,52.599,54.7791,53.5498,54.7791
3173,2011-03-11,8.8065,9.0082,8.8161,8.941
3172,2015-07-08,37.9347,39.0686,38.0994,39.0589
3171,2016-08-16,34.9919,36.1311,36.0918,35.0312
3170,2016-05-10,32.4006,33.0958,33.0664,32.5475
3169,2016-01-08,39.1968,40.2677,39.3039,39.8588
3168,2009-08-06,2.9099,3.2268,2.9387,3.2268
