,Date,Low,High,Close,Open
3553,2004-11-12,88.9747,95.1939,91.2818,92.9018
3552,2006-09-15,203.9997,205.6599,205.5746,204.3709
3551,2006-05-16,185.5177,189.0135,186.2249,188.5771
3550,2017-08-10,921.78,936.3,923.59,935.0
3549,2006-08-17,192.5544,195.6038,193.4973,193.7932
3548,2015-07-02,543.57,548.0,547.34,544.74
3547,2010-10-06,265.791,270.8109,268.0023,270.4649
3546,2005-12-06,201.4719,208.8497,202.8963,204.9828
3545,2015-03-26,558.31,567.19,563.64,564.65
3544,2008-07-15,251.3258,264.5667,258.844,258.9393
3543,2011-12-02,309.0841,312.9661,311.1405,309.4803
3542,2016-10-05,800.71,808.5,801.23,806.0
3541,2007-11-14,319.1201,338.7908,321.8335,337.6824
3540,2008-01-18,300.1515,305.9394,301.0543,305.1219
3539,2008-05-02,290.5469,302.1577,291.545,300.3471
3538,2006-11-21,248.6827,255.7896,255.6141,249.0388
3537,2012-01-18,312.0232,317.9816,317.4349,314.2852
3536,2017-09-29,966.0,975.81,973.72,966.0
3535,2013-07-25,444.4119,449.8135,445.2244,448.3189
3534,2010-01-29,263.6188,271.3326,265.7925,270.0787
3533,2013-08-08,444.0181,449.307,447.712,449.1314
3532,2011-11-28,289.1426,295.3216,295.0057,290.582
3531,2016-05-13,723.51,731.29,724.83,726.62
3530,2009-10-22,274.8484,278.3593,277.9029,275.8515
3529,2013-12-05,527.1723,531.4706,530.307,530.2368
3528,2017-10-06,978.51,994.26,993.64,980.0
3527,2016-01-14,705.0,739.89,731.39,724.44
3526,2016-03-28,752.04,758.3,753.28,756.17
3525,2015-04-10,544.98,549.85,548.54,549.57
3524,2017-08-23,935.24,945.43,942.58,937.0
3523,2005-02-02,102.1453,108.7357,103.2989,108.1087
3522,2017-09-07,937.53,950.5,949.89,944.25
3521,2013-10-04,436.347,440.1135,437.5256,438.8547
3520,2006-12-22,227.0659,230.0301,228.4953,229.4583
3519,2011-11-03,292.7637,299.6751,299.6751,294.4088
3518,2006-07-25,192.4942,196.2608,195.2828,193.1061
3517,2013-06-05,429.892,436.0711,431.181,432.5904
3516,2011-10-20,290.6522,295.3567,292.7387,291.8509
3515,2016-03-24,750.5,757.555,754.84,751.2
3514,2017-06-19,968.2,979.3,975.22,969.65
3513,2009-06-29,211.7737,214.5623,212.7267,213.6595
3512,2012-07-05,295.1812,300.959,298.8826,295.2915
3511,2015-06-01,543.58,550.57,549.21,548.73
3510,2010-12-23,301.9471,303.9382,303.0505,303.6072
3509,2005-02-09,95.0233,101.1121,96.0866,100.6908
3508,2008-08-11,246.6514,255.2279,251.1954,246.9975
3507,2018-04-02,994.25,1039.53,1012.63,1027.62
3506,2008-05-13,290.1707,294.8853,292.4026,294.4088
3505,2008-03-14,215.9767,225.3657,219.638,222.1758
3504,2013-02-21,396.835,403.972,398.9967,400.2355
3503,2015-11-03,741.16,751.698,748.82,745.43
3502,2008-02-21,250.5233,257.3996,252.2085,257.219
3501,2005-11-21,197.3542,205.6247,205.3138,200.203
3500,2008-10-17,182.3379,193.5976,186.8468,190.0667
3499,2006-10-17,208.9962,212.5311,210.9712,210.8007
3498,2012-03-16,310.985,313.9231,313.4877,311.4063
3497,2014-08-01,570.3,583.43,573.6,578.555
3496,2008-02-05,245.0163,255.288,254.1844,245.4728
3495,2006-06-14,189.846,196.1555,192.7901,195.5185
3494,2005-10-28,178.0597,180.0307,179.6395,178.185
3493,2015-11-11,759.75,769.08,765.25,762.38
3492,2013-04-16,393.1737,399.2324,397.9133,394.5128
