,Date,Low,High,Close,Open
4925,2002-03-21,61.9,64.6,64.07,64.6
4924,2002-03-14,62.8,66.5,63.2,66.5
4923,2012-07-02,45.08,45.69,45.42,45.46
4922,2005-08-08,71.2,72.48,71.25,71.4
4921,2015-04-07,34.53,35.165,35.07,34.57
4920,2013-08-01,49.67,50.19,49.82,49.75
4919,2000-12-21,102.4,108.8,105.0,107.3
4918,2000-05-31,150.0,158.0,153.4,156.5
4917,2018-07-18,19.66,19.82,19.68,19.76
4916,2002-06-24,48.62,52.8,51.4,52.4
4915,2002-06-19,53.25,55.91,55.5,53.55
4914,2014-07-09,54.76,55.39,55.03,55.19
4913,2013-05-16,42.37,43.09,42.72,42.37
4912,2015-09-30,18.31,19.16,19.09,18.35
4911,2007-08-22,45.05,46.46,45.97,45.25
4910,2014-02-05,55.79,57.05,56.53,56.87
4909,2002-07-29,49.4,52.25,51.66,49.99
4908,2014-10-06,60.26,61.13,60.99,60.43
4907,2003-08-22,54.3,56.28,54.3,56.0
4906,2018-04-13,16.49,17.25,16.62,17.12
4905,2017-03-20,15.35,15.61,15.51,15.5
4904,2015-05-15,30.67,31.13,31.07,30.88
4903,2013-06-06,42.37,42.84,42.72,42.54
4902,2018-07-24,20.26,20.42,20.39,20.35
4901,2018-04-27,17.54,17.68,17.62,17.55
4900,2004-10-05,58.19,59.55,58.26,59.1
4899,2017-08-31,14.93,15.05,15.0,15.0
4898,1999-03-26,42.75,46.5,45.38,42.75
4897,2012-06-08,43.45,43.76,43.62,43.71
4896,2001-04-10,64.52,72.98,71.45,66.53
4895,2001-07-06,57.78,58.69,57.79,58.34
4894,2011-02-23,66.11,67.58,66.52,67.43
4893,2013-12-06,54.64,55.8,55.48,54.71
4892,2010-12-17,73.09,73.93,73.76,73.29
4891,2007-03-07,52.35,53.44,52.53,53.22
4890,2008-04-15,38.15,40.2,39.67,38.23
4889,2002-10-02,52.52,54.66,53.4,53.14
4888,2004-01-05,100.25,102.5,101.3,100.56
4887,2018-08-31,20.6,20.8,20.77,20.62
4886,2014-10-27,61.49,62.44,61.95,61.97
4885,1999-06-11,53.25,55.0,53.38,54.0
4884,2014-04-07,54.0305,55.12,54.65,54.4
4883,2016-06-30,17.71,18.0,17.85,17.71
4882,2017-05-16,15.17,15.31,15.26,15.17
4881,2002-08-20,55.66,56.84,56.0,55.98
4880,2004-11-03,67.0,69.64,68.59,67.5
4879,2013-05-22,42.82,43.5,43.06,43.24
4878,2014-08-28,58.72,59.325,59.26,59.14
4877,2015-07-13,15.42,15.62,15.54,15.48
4876,2014-05-19,51.43,52.35,52.1,51.78
4875,2001-03-14,61.13,73.0,66.0,63.0
4874,2009-12-16,53.81,54.99,54.43,53.81
4873,2004-06-01,81.52,84.3,82.05,82.68
4872,2001-11-13,49.19,51.4,49.21,51.0
4871,2000-05-19,160.4,172.0,162.3,170.0
4870,2007-08-03,47.91,49.59,47.96,49.35
4869,2001-02-07,107.8,114.9,108.3,114.9
4868,2013-07-01,40.71,41.67,41.03,40.95
4867,2010-12-21,73.41,74.36,74.04,73.84
4866,2012-05-11,43.38,44.24,43.73,43.68
4865,2018-06-19,18.145,18.3,18.2,18.3
4864,2016-01-29,17.69,18.01,17.91,17.75
4863,2008-03-03,37.88,38.68,38.21,38.55
4862,2000-06-23,177.1,186.0,178.9,184.1
4861,2005-04-12,66.8,68.69,68.27,66.83
4860,2015-09-29,17.78,18.12,18.05,17.83
4859,2017-07-10,15.26,15.55,15.32,15.47
4858,2013-03-22,52.01,52.72,52.37,52.39
4857,2016-02-03,17.345,17.77,17.65,17.7
4856,2006-07-06,76.75,78.5,78.06,77.1
4855,2007-04-11,51.61,52.9,51.97,52.89
4854,2012-10-16,44.04,44.58,44.57,44.5
4853,2014-08-06,55.13,56.48,56.27,56.08
4852,2013-11-21,53.25,53.71,53.52,53.69
4851,2009-03-09,22.6299,23.38,22.82,23.01
4850,2005-03-07,76.83,78.48,77.09,76.83
4849,2009-02-26,24.2,25.06,24.2,24.77
4848,2001-07-24,55.25,57.47,55.25,56.0
4847,2001-10-11,44.5,46.5,45.1,44.99
4846,2012-07-06,43.18,44.17,43.55,43.88
4845,2002-07-12,54.57,57.0,56.9,54.65
4844,2001-09-18,41.5,43.5,42.25,42.6
4843,2010-02-11,53.14,54.31,54.27,53.2
4842,2011-08-08,52.74,55.51,53.39,54.9
4841,2003-07-18,51.3,54.19,54.19,52.3
4840,2014-11-10,67.59,68.24,67.76,67.86
4839,2008-02-06,39.4,40.66,39.81,39.65
4838,2011-06-02,61.77,62.65,62.2,62.32
4837,2008-03-19,33.33,35.0,33.38,34.1
4836,2000-03-30,220.6,253.0,223.0,232.0
4835,2007-03-05,50.48,52.43,51.45,51.34
4834,2018-03-28,17.5,17.755,17.69,17.65
4833,2005-11-04,69.01,70.25,69.56,69.99
4832,2018-09-13,10.47,10.635,10.61,10.6
4831,2007-12-03,41.5,42.4,41.65,42.32
4830,2004-11-09,64.1,66.51,65.23,65.03
4829,2000-09-11,152.0,161.9,155.5,153.0
4828,2015-07-01,15.75,16.02,15.91,15.98
4827,2014-12-02,68.2,69.24,69.11,68.72
4826,2009-08-19,40.0,41.2,41.05,40.32
4825,2007-07-16,51.2,52.65,52.17,51.88
4824,2015-09-25,17.64,17.88,17.81,17.78
4823,2013-05-10,42.57,43.4,42.87,43.31
4822,2008-06-04,45.71,47.41,46.69,45.95
4821,2004-09-16,57.09,58.69,57.77,57.65
4820,2015-11-30,16.45,16.995,16.68,16.64
4819,2016-09-27,15.88,16.03,15.91,15.91
4818,2006-08-07,40.59,41.82,40.96,41.32
4817,2001-09-04,48.37,52.44,48.75,52.44
4816,2017-11-27,15.49,15.61,15.53,15.59
4815,2015-09-04,16.75,17.12,16.92,16.9
4814,2014-07-08,55.31,55.765,55.55,55.48
4813,2015-04-30,30.87,31.07,30.98,30.97
4812,2012-11-05,43.16,43.8,43.77,43.6
4811,1999-07-16,105.5,121.9,110.8,109.4
4810,2015-12-23,16.73,16.91,16.86,16.91
4809,2009-09-11,46.6426,47.41,46.78,47.0263
4808,2001-01-23,119.3,123.5,120.1,123.5
4807,2015-04-21,34.37,34.76,34.55,34.37
4806,2015-01-28,35.105,35.53,35.14,35.38
4805,2005-03-09,74.25,76.93,74.75,76.16
4804,2006-06-28,71.0,73.0,72.7,71.49
4803,2001-04-11,55.01,66.0,55.5,64.69
4802,2013-07-10,42.02,42.675,42.58,42.15
4801,2014-08-19,57.98,58.4,58.11,58.38
4800,2014-07-21,52.67,53.53,53.49,53.33
4799,2013-06-18,41.485,41.99,41.58,41.82
4798,2012-04-05,55.92,57.48,57.39,56.42
4797,2007-11-12,40.01,42.01,40.05,42.0
4796,2009-02-25,24.33,25.05,24.62,24.53
4795,2012-10-17,44.01,44.62,44.13,44.3
4794,2008-06-17,46.61,47.41,46.76,47.15
4793,2017-09-22,14.45,14.6,14.59,14.56
4792,2018-04-05,17.85,18.01,17.87,17.93
4791,2003-04-10,40.0,44.88,40.25,43.98
4790,2003-11-11,81.55,85.23,82.36,85.23
4789,2013-04-30,41.12,41.88,41.74,41.2
4788,2011-08-30,50.71,51.56,50.98,51.06
4787,2004-12-31,69.17,70.2,69.31,69.74
4786,2010-10-06,68.68,69.73,69.02,69.35
4785,2003-11-10,84.97,87.64,84.98,87.64
4784,2018-08-16,20.91,21.04,20.99,21.0
4783,2018-03-12,18.25,18.49,18.41,18.25
4782,2002-05-23,59.84,62.5,62.42,60.66
4781,2006-08-28,43.17,44.25,43.82,43.35
4780,2018-06-14,18.15,18.49,18.16,18.49
4779,1999-08-13,90.38,95.5,94.0,92.88
4778,2002-02-27,56.0,58.85,56.12,57.65
4777,1999-05-06,42.06,43.25,42.88,42.06
4776,2015-10-01,18.62,19.06,18.89,19.03
4775,2011-09-29,50.91,53.15,51.75,51.95
4774,2012-12-24,41.93,42.44,41.94,42.29
4773,2003-11-05,87.56,89.75,87.56,89.75
4772,2012-01-20,51.6,52.73,52.29,51.61
4771,2001-01-16,101.0,115.0,112.9,101.9
4770,2015-10-09,19.01,19.4,19.15,19.4
4769,2017-05-17,14.82,15.21,14.89,15.15
4768,2009-08-13,42.38,43.35,42.84,43.35
4767,2002-11-06,73.7,78.86,77.75,74.2
4766,2003-09-12,64.73,65.55,65.4,64.73
4765,2006-03-17,70.62,71.91,71.75,71.49
4764,2018-09-12,10.525,10.65,10.55,10.57
4763,2005-07-27,71.01,73.0,71.91,73.0
4762,2007-02-27,52.7,55.55,53.51,55.21
4761,2016-09-06,16.32,16.5,16.44,16.32
4760,2000-11-21,125.0,135.4,133.9,126.9
4759,2001-01-17,110.0,117.0,113.1,115.0
4758,2018-06-04,18.35,18.46,18.44,18.37
4757,2002-01-14,61.9,65.79,64.86,63.7
4756,2004-04-23,87.25,88.5,88.0,88.25
4755,2010-05-14,57.01,58.73,57.87,58.73
4754,2013-10-15,53.902,54.86,54.76,53.94
4753,2004-04-08,83.39,85.1,83.78,85.0
4752,2013-03-12,52.53,53.75,52.76,53.57
4751,2001-10-29,49.01,52.2,49.33,52.19
4750,2002-03-08,65.5,73.14,72.5,65.5
4749,2008-08-04,38.72,40.5,39.58,40.5
4748,2002-08-01,49.78,51.29,50.42,51.29
4747,2000-12-26,90.06,98.5,95.06,93.12
4746,2006-10-24,50.051,51.72,51.48,50.14
4745,2005-05-26,68.59,73.29,72.135,68.84
4744,2011-11-07,57.32,58.33,57.95,58.13
4743,2014-12-04,68.19,68.85,68.4,68.68
4742,2013-02-25,54.31,55.705,54.58,54.33
4741,2013-07-09,41.11,42.185,42.11,41.15
4740,2005-07-18,70.77,72.18,71.3,70.77
4739,2009-06-10,36.75,37.89,37.28,37.89
4738,1999-12-02,210.6,219.9,218.3,210.6
4737,2008-07-21,37.31,38.52,37.48,38.38
4736,2018-08-09,20.82,20.98,20.9,20.85
4735,2010-07-30,59.52,60.69,60.48,59.93
4734,2000-04-05,155.0,217.4,197.0,160.9
4733,2011-10-17,54.98,56.51,55.05,56.5
4732,2002-09-24,53.05,56.66,54.15,53.75
4731,2014-05-13,54.17,54.56,54.3,54.3
4730,1999-08-30,98.0,101.1,98.75,101.1
4729,2001-07-25,55.21,56.9,56.1,56.0
4728,2001-12-10,63.21,66.98,63.49,66.12
4727,2001-01-08,88.56,94.63,92.86,94.5
4726,2004-11-22,63.61,65.5,64.37,65.29
4725,2012-03-27,57.204,58.02,57.57,57.34
4724,2013-12-18,55.0,56.27,56.2,55.8
4723,2003-12-02,85.17,87.54,85.8,87.54
4722,2015-04-10,35.99,36.32,36.31,36.16
4721,2009-10-26,48.11,49.64,48.24,48.76
4720,2006-10-10,48.8,50.17,49.5,49.8
4719,2008-03-27,36.06,37.0,36.31,36.56
4718,2011-02-11,66.26,67.12,67.12,66.74
4717,2012-03-19,57.33,58.55,58.1,58.03
4716,2000-10-20,122.5,132.4,127.0,128.1
4715,2010-08-10,61.12,62.29,62.05,61.56
4714,2012-04-23,44.45,45.73,45.66,45.25
4713,2015-03-11,34.4,34.97,34.63,34.63
4712,2005-02-28,75.5,77.98,76.25,77.4
4711,2003-11-12,82.9,84.0,84.0,83.65
4710,2005-01-03,68.83,70.3,69.16,69.44
4709,2004-04-12,82.38,85.35,84.0,82.39
4708,2018-03-14,18.34,18.49,18.38,18.46
4707,2000-08-08,123.5,142.0,135.5,124.2
4706,2016-06-16,17.95,18.29,18.24,17.98
4705,2015-06-26,16.11,16.31,16.17,16.26
4704,2017-07-21,15.41,15.7,15.68,15.51
4703,1999-08-24,97.0,107.8,103.0,97.0
4702,2002-03-19,64.12,65.05,64.74,64.7
4701,2018-06-07,18.56,18.8,18.57,18.73
4700,2006-05-17,74.05,77.0,74.5,76.81
4699,2009-07-15,36.43,37.35,37.34,36.5
4698,2010-08-19,59.38,60.39,59.62,60.08
4697,2005-12-29,80.0,80.9,80.32,80.45
4696,2014-12-10,31.39,32.18,31.4,32.07
4695,2014-01-27,58.15,60.7,58.2,59.32
4694,2008-10-31,28.22,30.11,29.32,28.73
4693,2006-06-05,68.58,71.28,68.63,71.28
4692,2000-07-19,144.5,152.0,148.6,150.3
4691,2011-03-08,68.16,69.37,68.92,68.16
4690,2012-05-14,43.15,43.72,43.3,43.38
4689,2009-04-28,28.07,28.95,28.66,28.07
4688,2014-05-15,53.36,54.92,53.76,54.86
4687,2015-12-21,16.4525,16.83,16.56,16.74
4686,2007-08-06,47.39,48.38,48.24,48.32
4685,2000-12-13,133.9,138.5,135.0,138.5
4684,2010-12-28,74.96,75.37,75.01,75.1
4683,2007-11-07,44.59,45.77,44.984,44.7
4682,2013-10-18,53.99,54.77,54.13,54.6
4681,2004-06-24,87.53,89.95,88.5,88.1
4680,2008-10-20,26.29,28.03,28.02,26.41
4679,2012-04-19,46.92,47.76,47.13,46.97
4678,2000-05-30,142.8,156.4,154.0,149.9
4677,2016-02-29,16.49,16.94,16.82,16.5
4676,2001-12-07,66.11,70.11,67.22,70.11
4675,2000-10-25,120.4,130.0,122.8,120.5
