,Date,Low,High,Close,Open
1238,2014-09-29,22.21,23.49,22.57,22.97
1237,2016-10-17,4.58,4.79,4.73,4.68
1236,2015-11-25,10.0,10.45,10.23,10.0
1235,2017-10-03,4.16,4.3,4.19,4.27
1234,2015-05-15,15.8,17.91,17.87,16.39
1233,2018-01-12,4.87,5.08,4.9,4.98
1232,2017-11-13,5.38,5.65,5.56,5.41
1231,2017-05-04,4.04,4.24,4.04,4.24
1230,2017-04-20,4.07,4.3,4.27,4.1
1229,2015-04-14,21.94,23.5,22.89,22.23
1228,2017-06-02,5.54,5.77,5.63,5.72
1227,2016-06-24,4.8,5.375,5.32,4.95
1226,2016-05-24,5.0902,5.37,5.17,5.33
1225,2015-08-27,15.76,16.38,16.16,16.0
1224,2014-08-18,20.8401,21.4399,21.03,21.09
1223,2018-08-23,11.121,11.35,11.17,11.28
1222,2018-03-23,5.26,5.44,5.31,5.39
1221,2015-11-13,10.9,11.75,11.01,11.61
1220,2016-01-19,4.28,4.68,4.4,4.63
1219,2014-08-29,20.95,21.725,21.14,21.2
1218,2017-11-20,5.31,5.62,5.5,5.55
1217,2014-02-26,33.3213,35.25,34.93,33.69
1216,2017-09-28,4.28,4.39,4.31,4.32
1215,2015-06-12,16.73,17.06,16.95,17.0
1214,2015-03-17,18.56,19.14,18.8,18.58
1213,2016-01-26,4.15,4.52,4.41,4.2
1212,2013-11-01,32.1,37.0,36.2,35.0
1211,2014-06-11,27.15,27.62,27.57,27.15
1210,2016-04-26,6.67,7.19,6.9,7.0
1209,2014-02-21,35.04,35.9599,35.17,35.51
1208,2017-08-07,4.5,4.75,4.6,4.71
1207,2014-01-28,36.111,38.19,36.49,38.04
1206,2016-03-07,6.04,6.58,6.55,6.06
1205,2017-01-31,4.75,4.88,4.87,4.83
1204,2017-12-14,5.21,5.57,5.3,5.5
1203,2018-02-05,4.5,4.71,4.51,4.63
1202,2017-01-25,5.05,5.1999,5.1,5.07
1201,2017-12-08,5.911,6.115,5.94,6.07
1200,2018-07-03,8.07,8.39,8.18,8.26
1199,2017-07-18,5.53,5.74,5.58,5.62
1198,2014-04-21,31.5,32.68,31.5,31.81
1197,2016-02-19,5.02,5.23,5.21,5.21
1196,2014-12-09,16.9001,17.57,17.48,17.1
1195,2014-03-03,35.04,36.25,35.38,35.4
1194,2015-03-25,18.88,20.01,19.05,19.88
1193,2017-04-12,3.97,4.17,4.05,4.17
1192,2016-03-28,5.69,6.13,6.05,5.97
1191,2014-08-11,22.31,22.96,22.66,22.57
1190,2016-02-04,4.04,4.28,4.2,4.09
1189,2017-06-01,5.68,5.94,5.78,5.71
1188,2014-11-21,22.12,23.44,22.22,23.44
1187,2018-09-11,10.705,11.13,11.09,10.79
1186,2016-02-09,3.97,4.09,4.0,4.04
1185,2017-07-11,5.43,5.61,5.57,5.43
1184,2018-03-12,5.32,5.65,5.56,5.49
1183,2015-06-11,16.7,17.17,17.02,17.05
1182,2015-12-07,9.85,10.2769,9.92,10.13
1181,2017-10-26,3.92,4.04,3.94,3.98
1180,2017-02-02,4.65,4.85,4.68,4.76
1179,2016-12-09,7.51,8.34,8.07,7.51
1178,2017-07-07,5.57,5.7,5.58,5.67
1177,2014-05-02,27.81,29.0,28.86,27.82
1176,2014-10-16,17.028,17.9,17.28,17.25
1175,2015-08-31,16.554,17.16,16.91,16.76
1174,2015-12-01,10.0,10.3723,10.06,10.28
1173,2015-05-29,18.07,18.87,18.36,18.41
1172,2017-06-23,5.38,5.58,5.41,5.5
1171,2016-11-11,4.9,5.18,5.07,5.1
1170,2017-07-03,5.88,6.37,6.28,5.95
1169,2016-05-09,6.29,6.51,6.47,6.42
1168,2017-01-13,5.55,5.76,5.59,5.66
1167,2014-07-14,24.25,25.0,24.5,24.48
1166,2018-05-09,6.32,6.53,6.34,6.51
1165,2016-06-10,4.96,5.27,5.05,5.22
1164,2017-02-27,4.21,4.37,4.3,4.27
1163,2014-02-14,36.648,37.82,36.96,37.82
1162,2017-05-24,5.18,6.07,5.5,5.6
1161,2018-04-12,5.68,5.85,5.7,5.75
1160,2018-02-12,4.5604,4.78,4.77,4.7
1159,2016-01-25,4.14,4.56,4.16,4.52
1158,2016-10-10,5.28,5.4586,5.4,5.29
1157,2013-11-21,34.28,35.3,35.19,34.95
1156,2014-02-25,32.8,33.975,33.31,33.65
1155,2017-05-22,3.97,4.23,4.19,4.04
1154,2016-12-02,5.75,6.0,5.9,5.82
1153,2018-06-29,8.36,8.6699,8.41,8.57
